seq_len,months_approx,train_samples,val_samples,best_val_acc,best_val_loss,epochs_trained
20,1,356,71,20.47887323943662,0.014107033299903074,17
30,1,346,61,20.39344262295082,0.001729981871903874,19
40,2,336,51,18.92156862745098,0.023602068424224854,11
60,3,316,31,17.0,0.01601238362491131,12
48,2,328,43,15.674418604651162,0.0094565418548882,14
