open,high,low,close,volume,ema_5_ratio,ema_10_ratio,ema_20_ratio,macd,macd_hist,atr_ratio,rsi_14,volume_ratio,obv,return_1d,return_5d,volatility_20d,date,target_return_5d,target_direction
17.2,17.68,17.1,17.22,39896098,-0.014659142776485834,-0.04014512052613872,-0.055118110340584,-0.1441150488309546,-0.34823145669607963,0.05960676953708312,27.28395061728395,0.2796788870988083,312790139.0,0.012941176470588234,-0.07815845824411138,0.049931224317548956,2018-08-06,0.012775842044134844,1
17.3,17.62,17.22,17.42,29000537,-0.0021456314625442063,-0.02385054633761252,-0.04010831655988034,-0.18417647780096758,-0.3106343085328741,0.05523208135148433,23.006535947712408,0.24703157155115596,341790676.0,0.011614401858304424,-0.010227272727272751,0.03987525636052376,2018-08-07,-0.014925373134328401,0
17.5,17.62,17.02,17.14,37947677,-0.01219701434087972,-0.0325857178601322,-0.05051505277961965,-0.23580094234669602,-0.28980701846288204,0.04996666111018504,27.16049382716048,0.3773732824553219,303842999.0,-0.016073478760045945,-0.04031354983202684,0.03996094948336197,2018-08-08,-0.04900816802800467,0
17.4,18.6,17.26,18.08,109541974,0.027598204223793,0.016685814925680553,0.0014085511106172177,-0.1985745149412459,-0.20206447284594553,0.04938369152970925,37.499999999999986,1.1019779463107802,413384973.0,0.05484247374562412,0.04750869061413643,0.041951223021625794,2018-08-09,-0.10176991150442483,0
18.3,18.6,18.0,18.16,54535948,0.021202876434945228,0.01726620665687917,0.0052804768679668435,-0.16076378674676306,-0.13140299572117015,0.04767149150409064,43.30218068535825,0.6497912437596283,467920921.0,0.004424778761062065,0.06823529411764717,0.03197079853871244,2018-08-10,-0.09911894273127753,0
17.98,18.06,17.24,17.44,49053111,-0.012940080186799818,-0.01895160693402842,-0.03138681897639062,-0.186743828340866,-0.12590642985221845,0.04726408912188731,43.71069182389939,0.647138691877906,418867810.0,-0.03964757709251099,0.012775842044134844,0.032682679930537605,2018-08-13,-0.056192660550458684,0
17.6,17.6,17.0,17.16,51105928,-0.019377524321698703,-0.028573142481893465,-0.042658362120446935,-0.22730660932381141,-0.1331753686681311,0.04761904761904765,38.73015873015873,0.6955952668188367,367761882.0,-0.016055045871559703,-0.014925373134328401,0.03271883834489913,2018-08-14,0.013986013986013957,1
17.28,17.34,16.22,16.3,79753065,-0.046749770413728964,-0.06411141352939242,-0.08271896307546944,-0.3251001658281325,-0.18477514013796176,0.051884312007011435,35.46511627906976,1.1339957284115019,288008817.0,-0.05011655011655003,-0.04900816802800467,0.032480180970452875,2018-08-15,0.08466257668711652,1
16.16,16.6,15.52,16.24,60546391,-0.03407666048645097,-0.05596078530538939,-0.07853988335798268,-0.4028005287209382,-0.20998040242461394,0.05321956368754404,27.419354838709666,0.9218616204811816,227462426.0,-0.0036809815950921143,-0.10176991150442483,0.029936386032352817,2018-08-16,0.07389162561576379,1
16.6,16.74,16.26,16.36,26655983,-0.018122264285887923,-0.04043890403428796,-0.06534594758458434,-0.44951391242645755,-0.20535502890410662,0.05186866922808249,30.536912751677846,0.4339562804185693,254118409.0,0.007389162561576512,-0.09911894273127753,0.030191300565923108,2018-08-17,0.041564792176039145,1
16.6,16.68,16.28,16.46,34082872,-0.008113156440969549,-0.028466447409744466,-0.054261749195921416,-0.4730128436780596,-0.18308316812456693,0.04782155875716027,38.554216867469876,0.5776522788193841,288201281.0,0.006112469437652868,-0.056192660550458684,0.02926952771358737,2018-08-20,0.052247873633049835,1
16.8,17.44,16.56,17.4,75830829,0.031839365755115034,0.021995978264510496,-0.0002283636568191083,-0.41104747250848206,-0.09689423756399146,0.04638752052545161,45.936395759717314,1.327976947342766,364032110.0,0.05710814094775207,0.013986013986013957,0.031379374121413894,2018-08-21,-0.016091954022988353,0
17.78,17.78,17.08,17.68,47002451,0.031782563507595674,0.031234146883043046,0.014327805707063934,-0.3354786207658407,-0.01706030865708008,0.043713639301874656,53.932584269662904,0.8415648715507782,411034561.0,0.016091954022988464,0.08466257668711652,0.03129669780676567,2018-08-22,-0.03054298642533937,0
18.22,18.96,17.44,17.44,115613435,0.011781167733581954,0.014057714224563034,0.0005054183234440845,-0.29159443640034155,0.02145910056673528,0.04734600262123203,54.13533834586467,1.9403325833303318,295421126.0,-0.013574660633484115,0.07389162561576379,0.0312656386100125,2018-08-23,-0.017201834862385357,0
17.2,17.34,16.92,17.04,38150978,-0.007645665022917192,-0.00754028734101686,-0.020348115352192386,-0.285798059060987,0.021804382324871918,0.047786720321931646,48.36363636363637,0.6568507507179898,257270148.0,-0.022935779816513846,0.041564792176039145,0.029927529596644013,2018-08-24,-0.014084507042253391,0
17.34,17.48,17.08,17.32,29085179,0.005757131122760217,0.007162184787777637,-0.0038472924042488588,-0.25566359750951406,0.04155107510107592,0.04717914879577702,49.10394265232974,0.5068897221698763,286355327.0,0.016431924882629234,0.052247873633049835,0.03011260464330744,2018-08-27,-0.04734411085450352,0
17.6,17.62,16.94,17.12,26264447,-0.003912099028601346,-0.0036584966496555626,-0.013908619051003268,-0.24509484731950693,0.04169586023286642,0.04806408544726306,49.81818181818182,0.489247212369862,260090880.0,-0.011547344110854452,-0.016091954022988353,0.027358678695409294,2018-08-28,-0.02219626168224309,0
17.12,17.28,17.02,17.14,15457732,-0.0018339768205578588,-0.002041918543467802,-0.011555764054828499,-0.23242594221543555,0.043491812269550234,0.04300716786131026,39.73799126637559,0.29526630341074045,275548612.0,0.001168224299065379,-0.03054298642533937,0.027113168509238655,2018-08-29,-0.03383897316219375,0
17.28,17.28,17.04,17.14,16052634,-0.0012233991089080076,-0.001671281102814448,-0.010466734250694776,-0.21985143317702338,0.04485305704636994,0.041506917819636654,38.66666666666668,0.32661686946330915,275548612.0,0.0,-0.017201834862385357,0.026053691248921904,2018-08-30,-0.03967327887981331,0
16.88,16.98,16.62,16.8,28107696,-0.014122875469893659,-0.017639136746855577,-0.027307758245428415,-0.23461668754092457,0.024070242145974974,0.040646258503401395,42.23300970873787,0.5833378546068735,247440916.0,-0.019836639439906656,-0.014084507042253391,0.026219987047046443,2018-08-31,-0.017857142857142905,0
16.8,16.86,16.38,16.5,20242557,-0.02137797495799676,-0.02897000543535988,-0.040595016050889665,-0.2674428362586134,-0.007004725257371058,0.040865800865800904,42.02898550724638,0.4288534573188106,227198359.0,-0.017857142857142905,-0.04734411085450352,0.02630768023917167,2018-09-03,-0.027878787878787947,0
16.62,16.94,16.5,16.74,15882122,-0.0047736820730213125,-0.012179548053443678,-0.024164196424214635,-0.27096824808861086,-0.008424109669894764,0.03737839221710194,56.249999999999964,0.34121602870413853,243080481.0,0.014545454545454417,-0.02219626168224309,0.026394403742490486,2018-09-04,-0.03703703703703687,0
16.7,16.74,16.52,16.56,16304906,-0.010370186572012163,-0.01873324945194932,-0.03146022253868297,-0.2850013399999973,-0.01796576126502497,0.03407522429261563,54.3956043956044,0.35863718658302773,226775575.0,-0.010752688172043001,-0.03383897316219375,0.026267996483859597,2018-09-05,-0.05434782608695643,0
16.56,16.82,16.42,16.46,26331333,-0.0109571774588898,-0.02026622182827109,-0.03387603408558815,-0.30072525713854503,-0.026951742722858163,0.033848290227391095,51.381215469613274,0.6375165447051879,200444242.0,-0.006038647342995085,-0.03967327887981331,0.022692210054215785,2018-09-06,-0.0036452004860269005,0
16.5,16.78,16.36,16.5,15029354,-0.0057187529155657835,-0.014681199692710645,-0.02861144699340623,-0.3064266137896716,-0.02612247949918778,0.033852813852813884,50.56179775280897,0.3821574373926839,215473596.0,0.002430133657351119,-0.017857142857142905,0.02265555914607626,2018-09-07,0.01090909090909098,1
16.5,16.56,15.84,16.04,33387796,-0.02254334149922843,-0.03475327188171862,-0.05065721562439707,-0.3440966041711597,-0.05103397590454073,0.03366583541147135,27.922077922077918,0.8662168697134517,182085800.0,-0.027878787878787947,-0.027878787878787947,0.021833586128448844,2018-09-10,0.023690773067331916,1
16.1,16.2,16.0,16.12,16082229,-0.011848612027544503,-0.024629676639860376,-0.041731296977004395,-0.363307034194591,-0.056195524742377545,0.03128323289613613,22.91666666666667,0.4370978670081381,198168029.0,0.004987531172069959,-0.03703703703703687,0.021726294135648912,2018-09-11,0.00992555831265518,1
16.18,16.26,15.58,15.66,29186620,-0.02705885761644289,-0.04333751273670883,-0.06291160275813046,-0.4109128465013292,-0.08304106963929259,0.02837073526728701,21.290322580645153,0.8517940931070956,168981409.0,-0.028535980148883477,-0.05434782608695643,0.019699080023705153,2018-09-12,0.05747126436781591,1
